tweet,task1,task2,pred_class
"@vonBeutelratte @MENA_WATCH @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Die Realität in Haifa sah dann so aus: Die Palästinenser wurden mit Fassbomben aus ihren Häusern in den Hafen getrieben und dort unter Mörserfeuer genommen, um ihre \""""freiwillige Abreise\""zu beschleunigen. Sie wurden gewaltsam auf Schiffe und ins Meer getrieben, manche ertranken",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Die Native Americans sind ein Beispiel für die Opfer siedlerkoloniale Regime. |LBR| So langsam frage ich mich, wer Ihnen die Zeitung vorliest und erklärt...",OFFENSE,INSULT,0
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Oh Mann, kaufen Sie sich mal eine Nachfüllpackung Textverständnis, Ihres ist alle...",OFFENSE,INSULT,0
"@vonBeutelratte @MENA_WATCH @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Offensichtlich sind sie für Sie wertloser als Europäer, denen sie zugestehen, sie für Lebensraum im Nahen Osten zu vertreiben und zu ermorden. |LBR| Für mich sind alle Menschen, egal welcher Herkunft, gleichwertig, ich unterteile in nur 2 Kategorien: Arm...loch oder Nicht-Arm...Loch.",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Warum sind die Palästinenser für Sie eigentlich so wertlos, dass man sie einfach so durch Europäer ersetzen darf, um diese zu \""""retten\""""?",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Darf er sich da in einer Hindu-Gegend niederlassen und fordern, dass die nun Buddhistisch wird und die Hindus zu verschwinden haben? Ist ja noch genügend \""""hinduistisches Land\""in der Umgebung...",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Hm... schwierig. Hat dann ein zum Buddhismus konvertierter Europäer auch ein Recht, ein Stück Indien zu beanspruchen? Seine \""""religiösen Vorfahren\""""... ein Ami würde sagen: Utter BS!",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv War Sitting Bull ein Terrorist? Seine Leute griffen ja auch Siedler an und vernichteten General Custer und seine Männer, um seine Heimat zu verteidigen. Nach ihren Standards war er also wohl ein Terrorist....",OTHER,OTHER,3
"@AlbertBartenst1 @MENA_WATCH @vonBeutelratte @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Eine simple Zusammenfassung ihrer Behauptungen... kann hier jeder nachlesen, der sich den Unsinn tatsächlich antun will.",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Sagt einer, dem es am rudimentärsten Textverständnis offensichtlich fehlt... *abwink*",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Diesen unschönen Teil der Geschichte weiß ich auch aus den persönlichen Erzählungen eines der Betroffenen, der nach ein paar Jahren in Israel gern erst in die USA auswanderte und später wieder heim nach Deutschland kam. Ich berichtete ja bereits davon.",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Ich spreche von den Leuten, die die Kolonie planten, finanzierten und mit Terror durchsetzten, bevor es zur Shoa kam. |LBR| Die Überlebenden waren im frühen Israel nicht gern gesehen, sie wurden ausgegrenzt, als \""""Sabonim\""(Seifenstücke) beschimpft, teilweise misshandelt...",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Offensichtlich glaubt Herr Bartenstein, wenn man ein Stück Land erwirbt, darf man darauf auch seinen eigenen Staat gründen, was ihn mit den Reichsbürgern verbindet, die das auch behaupten.",OTHER,OTHER,3
"@MENA_WATCH @AlbertBartenst1 @vonBeutelratte @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Mein Hinweis auf die Populationsgenetik hat keinen völkischen Hintergrund, er widerlegt lediglich den Claim der Zionisten, sie gingen \""""Heim ins Land der Vorfahren\"""", denn dieses liegt recht deutlich sichtbar eher in Europa als in Asien.",OTHER,OTHER,3
"@AlbertBartenst1 @MENA_WATCH @vonBeutelratte @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Ganz nebenbei rasselt er durch den 3-D-Test: Dämonisierung der Palästinenser als Terroristen, Delegitimierung durch Absprechen ihres Status als Einheimische, Doppelte Standards, da er von ihnen anderes Verhalten erwartet als von anderes Opfern eines siedlerkolonialen Regimes.",OTHER,OTHER,3
"@AlbertBartenst1 @vonBeutelratte @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Die Kolonisten kauften hat 6,3% des Landes, kontrollieren heute aber etwa 78%. |LBR| Übrigens glauben nur Reichsbürger, dass man auf gekauftem Land einen eigenen Staat gründen kann...",OTHER,OTHER,3
"@vonBeutelratte @Ski3989 @AlbertBartenst1 @MENA_WATCH @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Genau das wäre doch ein Grund gewesen, die Gebiete nicht an antisemitische Polen zu verschenken, sondern dort einen europäischen Judenstaat zu errichten...",OTHER,OTHER,3
"@AlbertBartenst1 @vonBeutelratte @Ski3989 @MENA_WATCH @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Dass sie zu blöd sind, zwischen einer politischen Ideologie und einer Religion zu unterscheiden, wissen wir ja nun zur Genüge...",OFFENSE,INSULT,0
@vonBeutelratte @Ski3989 @AlbertBartenst1 @MENA_WATCH @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Beschäftigen Sie sich einfach mal mit der Geschichte der Sephardim und Mizrachim. |LBR| Lediglich wo Christen an der Macht waren gibt es diese Verfolgungserfahrung.,OTHER,OTHER,3
"@DwiddernKlaus @Kittypunk7 Die braucht es nicht suchen, Israels Politik ist Vorbild vieler Neurechter. |LBR| Wenn man den Zionisten so zuhört, meint man, sei bei der AfD... und zwar beim Höcke-Flügel.",OFFENSE,INSULT,0
"@vonBeutelratte @Ski3989 @AlbertBartenst1 @MENA_WATCH @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Sie sprechen nur von den europäischen Juden, wenn sie von Jahrhunderten der Verfolgung sprechen. |LBR| Und auch das ist übertrieben, es gab Phasen, in denen der Antijudaismus überwog, besonders in Krisenzeiten, wenn ein Sündenbock gebraucht wurde, meist aber lebte man nebeneinander her",OTHER,OTHER,3
"@vonBeutelratte @Ski3989 @AlbertBartenst1 @MENA_WATCH @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Warum musste es unbedingt da gegründet werden, wo andere schon seit Jahrhunderten, wenn nicht seit Jahrtausenden, leben? |LBR| Warum nicht dort, wo früher schon die meisten Juden Europas lebten, z.B. in den ehemaligen deutschen Ostgebieten?",OTHER,OTHER,3
"@vonBeutelratte @Ski3989 @AlbertBartenst1 @MENA_WATCH @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Blödsinn! Ohne die Verbrechen der Zionisten, die alle Juden dafür in Geiselhaft nehmen, hätte sich der Antisemitismus quasi erledigt, da heute der Großteil \""""antisemitischer\""Vorfälle \""""Israel bezogen\"""" sind: |LBR| Die nehmen zu, wenn Israel bombt, sie verschwinden, wenn es friedlich ist.",OFFENSE,ABUSE,1
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Gleiches könnte man über die Religionsflüchtlinge sagen, die Nordamerika kolonisierten, das waren ja nur Flüchtlinge, keine Kolonisten... |LBR| Eine Kolonie gründeten sie dennoch und die Einheimischen wurden trotzdem fast ausgerottet.",OTHER,OTHER,3
"@AlbertBartenst1 @vonBeutelratte @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Bartenstein will es nicht kapieren, dass die Palästinenser mehr mit den antiken Bewohner Judäas gemein haben als die europäischen Kolonisten. Während diese ins angebliche \""""Land der Vorväter\""zurück wollen, haben die Vorfahren der heutigen Palästinenser es nie verlassen.",OTHER,OTHER,3
"@AlbertBartenst1 @vonBeutelratte @MENA_WATCH @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Wenn die ideologischen Vordenker selbst von Kolonisierung schreiben, sie mit dem Jewish COLONIAL Trust finanzieren und u.a. von der Palestine Jewish COLONIZATION Association durchführen lassen, worum wird es sich dann wohl handeln?",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @SDGMasterglass @Netzengel @TiloJung @JungNaiv Es gibt einen Unterschied zwischen Flüchtling und Kolonist: |LBR| Der Flüchtling will im Aufnahmeland keinen eigenen Staat gründen und die Einheimischen beherrschen. Im besten Fall integriert er sich in die bestehende Gesellschaft und hat nicht vor, sie zu verändern.",OTHER,OTHER,3
"@MENA_WATCH @SDGMasterglass @vonBeutelratte @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Der auch hier zitierte Passus \""""daß nichts getan werden soll, was die bürgerlichen und die religiösen Rechte bestehender nichtjüdischer Gemeinschaften in Palästina (...), beeinträchtigen würde\""schließt einen eigenen Staat der Kolonisten aus.",OTHER,OTHER,3
"@MENA_WATCH Ich dachte immer, das \""""Ministry for Strategic Affairs\""wäre in der Umgebung von Tel Aviv, genauer gesagt in Bnei Brak....",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Israel verhindert eine Befreiung von Gefangenen durch staatliche Macht, die dem Widerstand nicht zur Verfügung steht, weswegen dieser völlig anders handeln muss, um dieselben Ziele zu erreichen. |LBR| Was ist daran so schwer zu verstehen?",OTHER,OTHER,3
"@AlbertBartenst1 @MENA_WATCH @vonBeutelratte @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Und der Alberne Bartenstein beweist mal wieder lautstark, dass er ein rassistischer Unmensch ist...",OFFENSE,INSULT,0
@MENA_WATCH Ein bezahlter zionistischer Troll redet wie der Pressesprecher der kolonialen Völkermörder in Tel Aviv...,OFFENSE,ABUSE,1
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Der ganze Staat Israel ist ein einziges Produkt von Terroristen, ohne Terror gegen die indigene Bevölkerung gäbe es ihn überhaupt nicht. |LBR| Der gefangene Staatsterrorist musste im Geheimen untergebracht werden, damit er nicht befreit wird, wie soll er da studieren?",OFFENSE,ABUSE,1
"@AlbertBartenst1 @MENA_WATCH @vonBeutelratte @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Wir sollten die gute alte Bulletin Board Regel wieder auspacken: \""""Wer zuerst Hitler sagt, hat verloren\""""... *gähn* |LBR| Im Krieg gibt es selten Wahlen...",OTHER,OTHER,3
"@MENA_WATCH @vonBeutelratte @AlbertBartenst1 @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Im Kriegszustand finden selten Wahlen statt, so wählten z.B. die Briten ca. 10 Jahre (von 1935 bis 1945) nicht, da sich das Land im Krieg befand..",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Es ging um den gefangen genommenen Staatsterroristen Shalit. Der musste, wenn man seine Befreiung verhindern wollte, im Geheimen untergebracht werden, da er sonst befreit worden wäre.",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Also, wenn die Hamas die Wahl gewonnen hat, die Fatah das nicht anerkannte und mit dem Ausland kollaborierte, um den Amtsantritt der demokratisch gewählten Regierung zu verhindern, dann nennt man das wohl einen Putsch, oder etwa nicht?",OTHER,OTHER,3
"@MENA_WATCH @vonBeutelratte @AlbertBartenst1 @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @TheMossadIL Euer Textverständnis ist genauso unterentwickelt ist wie Euer Mitgefühl für unschuldige Opfer der zionistischen Kolonisierung Palästinas, das ihr Euch habt abkaufen lassen....",OFFENSE,ABUSE,1
"@AlbertBartenst1 @vonBeutelratte @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Sie vergleichen Äpfel und Birnen. Israel hat Gefängnisse, der Widerstand muss seine Gefangenen in Geheimverstecken unterbringen. |LBR| Eine Befreiung aus dem israelischen Knast ist dem Widerstand nicht möglich, wüssten die Zionisten wo jemand gefangen gehalten wird, würde er befreit.",OTHER,OTHER,3
"@vonBeutelratte @AlbertBartenst1 @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Ich kennen genügend Leute persönlich, die nachts aus dem Bett gezogen und in die Folterknäste der Zionisten geworfen wurden... |LBR| Also erzählen sie nicht solchen BS!",OTHER,OTHER,3
"@AlbertBartenst1 @vonBeutelratte @MENA_WATCH @Ski3989 @SDGMasterglass @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Kollaborateure sind nirgends besonders beliebt, gerade in einer Kriegssituation. |LBR| Ansonsten liest sich die Behandlung Gefangener durch die Hamas ziemlich genauso, wie die das Standard-Procedere in israelischen Gefängnissen gegenüber Palästinensern, wie es mir Betroffene berichten",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @Ski3989 @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Im Westen nennt man sowas Kollateralschaden, den man Schulter zuckend hin nimmt... |LBR| Tut es der Widerstand, ist es plötzlich ganz, ganz böse. |LBR| Wieder mal Doppelte Standards....",OTHER,OTHER,3
"@MENA_WATCH @vonBeutelratte @Ski3989 @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Es ist sinnlos, sich mit Leuten auseinandersetzen zu wollen, die sowieso nur fürs Lügen und Verleumden bezahlt werden. |LBR| Denen kann man nur seine abgrundtiefe Verachtung ins Gesicht kotzen!",OFFENSE,INSULT,0
"@MENA_WATCH @vonBeutelratte @Ski3989 @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Ihr seid ja auch zu blöd, um einen Eimer Wasser umzukippen, Propaganda-Fuzzies... Sucht einfach mal weiter, Zionisten-Fiffies...",OFFENSE,INSULT,0
@vonBeutelratte @MENA_WATCH @Ski3989 @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Achja? Das haben wir gesehen? Wo denn genau?,OTHER,OTHER,3
"@MENA_WATCH @Ski3989 @vonBeutelratte @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Im Kampf zwischen Einheimischen, die ihre Kultur vor Kolonisierung retten wollen und einem skrupellosem Terrorregime, das ohne die USA nicht lebensfähig ist und dessen Ziel die Auslöschung der Kultur der Einheimischen ist, werden die Einheimischen langfristig die Gewinner sein.",OFFENSE,ABUSE,1
"@vonBeutelratte @MENA_WATCH @Ski3989 @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Wie ich schon schrieb, der Schmutz ist von vorn bis hinten tendenziös. Für die Schmierfinken sind die Palästinenser offensichtlich minderwertig und haben sich gefälligst unter die zionistischen Herrenmenschen unterzuordnen oder zu verwecken! Das quillt dort aus jeder Zeile.",OFFENSE,ABUSE,1
"@MENA_WATCH @Ski3989 @vonBeutelratte @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Auf der einen Seite Kolonisten, die die Einheimischen verdrängen und ermorden wo es nur geht, auf der anderen Seite Freiheitskämpfer, die um ihre Heimat kämpfen. Wer hier angeblich unabhängig ist, aber nur Propaganda ins Netz bläst: der liebe Flori Markl und der nette Alex Gruber",OTHER,OTHER,3
@vonBeutelratte @Ski3989 @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Der Bund strebte sozialistische und demokratische Veränderungen in Osteuropa an. Ziel war die gesetzliche Anerkennung der Juden als eigene Nation mit Minderheitenstatus. All dies zu erreichen würde ich als Erfolg sehen...,OTHER,OTHER,3
"@MENA_WATCH @vonBeutelratte @Ski3989 @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Habe ich nie getan, sie dreister Lügner. Ich wies darauf hin, dass der Zionismus die jüdische Emanzipationsbewegung schwächte &amp; so eine positive Entwicklung in Osteuropa ABSICHTLICH verhinderte. Herzls Argument war , die \""""revolutionären jüdischen Massen\""in die Kolonie abzuleiten",OFFENSE,INSULT,0
"@MENA_WATCH @Ski3989 @vonBeutelratte @SDGMasterglass @AlbertBartenst1 @BSchuller @berlinpapers @palactnet @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv Ach, und die Zionistischen Staatsterroristen bezahlen keine Hinterbliebenenrente, wenn einer ihrer Killer über die Wupper geht? In der Kolonie gibt es sogar Museeun für Terrorbanden wie die IRGUN. |LBR| Mal wieder Doppelte Standards bei unseren \""""unabhängigen\""Propagandaschleudern...",OFFENSE,ABUSE,1
"@vonBeutelratte @Kaputtnikkkk @MENA_WATCH @Ilona_GR_DE @palactnet @SDGMasterglass @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Hamas hat die Demos nicht initiiert, das waren unabhängige Aktivisten. Im Nachgang unterstützten dann alle größeren Fraktionen in Gaza den Marsch, der tatsächlich großteils friedlich war... und mehrere hundert Meter vom illegalen Grenzzaun entfernt.",OTHER,OTHER,3
"@vonBeutelratte @Kaputtnikkkk @MENA_WATCH @Ilona_GR_DE @palactnet @SDGMasterglass @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Hier sieht man primär ein Foto mit einem Text darunter. Inwieweit der den Tatsachen entspricht, ist ungewiss, insbesondere da es sich um eine Veröffentlichung eines Propagandaportals handelt.",OFFENSE,INSULT,0
"@vonBeutelratte Ich mache Support für KMUs, primär Client, auf Win, Mac OS, Android und iOS.. kann aber auch noch die NOVELL Palette, NDS und GroupWise..",OTHER,OTHER,3
"@MENA_WATCH @Ilona_GR_DE @Kaputtnikkkk @palactnet @SDGMasterglass @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Dachte ich's mir doch: Eine Ausgründung des AIPAC, dieses Washington Institute... also ein Propaganda Outlet.",OFFENSE,INSULT,0
"@MENA_WATCH @Ilona_GR_DE @Kaputtnikkkk @palactnet @SDGMasterglass @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Was von Euch kommt ist grundsätzlich erstmal fragwürdig. Wenn ihr sagt, der Himmel sei blau, sieht man besser 2x nach...",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva In so ziemlich JEDEM ihrer Machwerke. Da ist kein Einziges dabei, das nicht zumindest tendenziös ist und die Tatsachen verdreht. Es fängt ja schon mit dem \""""unanbhängig\""an. Wer sich von Zionisten für Propaganda ein Gehalt bezahlen lässt, ist alles andere, aber nicht unabhängig.",OFFENSE,INSULT,0
"@vonBeutelratte Na, dann bin ich ja schon mal auf die ein oder andere Entschuldigung gespannt... ;)",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Die Beiden betreiben das Portal nicht, sie sind von einem österreichischen Industriellen angestellt und werden von dem fürs Hetzen, Lügen und verleumden bezahlt.",OFFENSE,INSULT,0
"@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Wo genau hab ich ein Wort gegen \""""die Juden\""gesagt? Im Gegensatz zu Antisemiten und Zionisten sind das für mich ganz gewöhnliche Menschenwie sie &amp; ich. |LBR| Ich dachte, sie seien schlau genug, zwischen eine Religion und einer sie mißbrauchenden politischen Ideologie zu unterscheiden.",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Ich rede von den 2 Witzfiguren die sich für ihrer Hetzerei als \""""MENA_Watch\""bezahlen lassen...",OFFENSE,INSULT,0
"@MENA_WATCH @vonBeutelratte @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Ihr seid keine \""""Kritiker\"""", sondern korrupte Propaganda-Mietmäuler und Hetzer, die sich den letzten Funken Moral und Menschlichkeit haben abkaufen lassen, also so ziemlich das Letzte, was es an Mensch gibt...",OFFENSE,INSULT,0
"@MENA_WATCH @vonBeutelratte @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Die korrupten MENA_Watch-Lügner hingegen lesen nur, was aus dem Hintern ihrer Herrchen in Tel Aviv kommt... oder ihren Gehaltsscheck vom zionistischen Stahl-Dealer...",OFFENSE,INSULT,0
"@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Er ist der Erfinder des politischen Zionismus, also der Urvater der Kolonie, Jabotinsky wiederum ist derjenige, der den Revisionistischen Zionismus erfand, auf dem die heutige Politik Israels fußt.",OTHER,OTHER,3
"@vonBeutelratte @MENA_WATCH @palactnet @stefanolix @_lnnen_WT @SDGMasterglass @Ilona_GR_DE @czsystuvx @Netzengel @TiloJung @JungNaiv @guyelster @benabyad @GreatReturnMa @UNGeneva Wer sind Sie, den Gründern der Kolonie selbst widersprechen zu wollen?",OTHER,OTHER,3
"@AlbertBartenst1 @ARDTelAviv Und warum wird da so viel Scheiße produziert? Weil Deine Völkermörderkumpels alles platt bomben, kaum, dass es gebaut wird. Wer in Tel Aviv baden geht, schwimmt übrigens auch in den Leichensäften der Ermordeten von Gaza.",OFFENSE,ABUSE,1
"@ARDTelAviv Mal sehen, wann es die zionistischen Siedlerterroristen wieder zu Klump bomben...",OFFENSE,ABUSE,1
"@EGutkin Fast so ermüdend wie ihre sich wiederholende Logorrhoe, ich weiß...",OTHER,OTHER,3
"@AhmadMansour__ Oh, der Tokenismus in Person mal wieder...",OTHER,OTHER,3
"@EGutkin Wohin Sie sich ihre Antisemitismus-Keule stecken können, habe ich Ihnen ja bereits verdeutlicht... und wer hier der Faschist ist, ist am Twitterfeed gut ablesbar.",OTHER,OTHER,3
"@EGutkin Und das von einem offensichtlichen Fan diverser Rechter und Rechtsradikaler, dessen Feed Bände spricht. *Bruahahahahahaha* |LBR| Wenn Du einen Faschisten sehen willst, schau einfach in den Spiegel!",OTHER,OTHER,3
@EGutkin Wo genau relativiere ich irgendetwas?,OTHER,OTHER,3
"@EGutkin Ach, der kleine gierige Kriegsgewinnler mach dich tatsächlich nochmal die Futterluke auf. |LBR| Geh doch ein bisschen mit Zahngold spielen...",OFFENSE,INSULT,0
"@EGutkin Ansonsten, Antisemitismus-Keule nehme, gut mit Vaseline beschmieren und vorsichtig rektal einführen, das nutzlose, alte, morsche und ausgeschlagen Ding zieht ziemliche Splitter!",OFFENSE,INSULT,0
